year,Total fatalities,Total seriously ijured persos,Total accidets,Fatal accidets,Aircraft-miles (millios),Rates per 100 millio aircraft-miles,Fatalities,Seriously ijured persos,Total accidets,"Total accidets, fatal",Aircraft departures (thousads),"Rates per 100,000 aircraft departures",Fatalities,Seriously ijured persos,Total accidets,"Total accidets, fatal",Flight hours (thousads),"Rates per 100,000 flight hours",Fatalities,Seriously ijured persos,Total accidets,"Total accidets, fatal"
1960,499,,90,17,"1,130",,44.159,,7.965,1.504,,,,,,,,,,,,
1965,261,,83,9,"1,536",,16.992,,5.404,0.586,,,,,,,"4,691",,5.564,,1.769,0.192
1970,146,107,55,8,"2,685",,5.438,3.985,2.048,0.298,,,,,,,"6,470",,2.257,1.654,0.85,0.124
1975,124,81,37,3,"2,478",,5.004,3.269,1.493,0.121,,,,,,,"5,607",,2.212,1.445,0.66,0.054
1980,1,19,19,1,"2,924",,0.034,0.65,0.65,0.034,"5,479",,0.018,0.347,0.347,0.018,"7,067",,0.014,0.269,0.269,0.014
1985,526,30,21,7,"3,631",,14.486,0.826,0.578,0.193,"6,307",,8.34,0.476,0.333,0.111,"8,710",,6.039,0.344,0.241,0.08
1990,39,29,24,6,"4,948",,0.788,0.586,0.485,0.121,"8,092",,0.482,0.358,0.297,0.074,"12,150",,0.321,0.239,0.198,0.049
1991,50,26,26,4,"4,825",,1.036,0.539,0.539,0.083,"7,815",,0.64,0.333,0.333,0.051,"11,781",,0.424,0.221,0.221,0.034
1992,33,22,18,4,"5,039",,0.655,0.437,0.357,0.079,"7,881",,0.419,0.279,0.228,0.051,"12,360",,0.267,0.178,0.146,0.032
1993,1,19,23,1,"5,249",,0.019,0.362,0.438,0.019,"8,073",,0.012,0.235,0.285,0.012,"12,706",,0.008,0.15,0.181,0.007
1994,239,31,23,4,"5,478",,4.363,0.566,0.42,0.073,"8,238",,2.901,0.376,0.279,0.049,"13,124",,1.821,0.236,0.175,0.03
1995,168,25,36,3,"5,654",,2.971,0.442,0.637,0.053,"8,457",,1.986,0.296,0.426,0.035,"13,505",,1.244,0.185,0.267,0.022
1996,380,77,37,5,"5,873",,6.47,1.311,0.63,0.085,"8,229",,4.618,0.936,0.45,0.061,"13,746",,2.764,0.56,0.269,0.036
