,month,carrier_id,carrier_name,total_fuel_cost,year
399,1,AA,American Airlines Inc.,458806189.0,2010
400,1,AS,Alaska Airlines Inc.,52610271.0,2010
401,1,B6,JetBlue Airways,86281447.0,2010
402,1,DL,Delta Air Lines Inc.,513535743.0,2010
403,1,NK,Spirit Air Lines,21040000.0,2010
404,1,UA,United Air Lines Inc.,320169235.0,2010
405,1,WN,Southwest Airlines Co.,264484955.0,2010
406,2,AA,American Airlines Inc.,388449715.0,2010
407,2,AS,Alaska Airlines Inc.,45056149.0,2010
408,2,B6,JetBlue Airways,76004760.0,2010
409,2,DL,Delta Air Lines Inc.,478692610.0,2010
410,2,NK,Spirit Air Lines,13573000.0,2010
411,2,UA,United Air Lines Inc.,278634843.0,2010
412,2,WN,Southwest Airlines Co.,233029287.0,2010
413,3,AA,American Airlines Inc.,454712175.0,2010
414,3,AS,Alaska Airlines Inc.,54455508.0,2010
415,3,B6,JetBlue Airways,92207399.0,2010
416,3,DL,Delta Air Lines Inc.,556132875.0,2010
417,3,NK,Spirit Air Lines,19243000.0,2010
418,3,UA,United Air Lines Inc.,339915313.0,2010
419,3,WN,Southwest Airlines Co.,285526589.0,2010
420,4,AA,American Airlines Inc.,462016857.0,2010
421,4,AS,Alaska Airlines Inc.,55913945.0,2010
422,4,B6,JetBlue Airways,93652022.0,2010
423,4,DL,Delta Air Lines Inc.,549864600.0,2010
424,4,NK,Spirit Air Lines,19642000.0,2010
425,4,UA,United Air Lines Inc.,348193934.0,2010
426,4,WN,Southwest Airlines Co.,286864925.0,2010
427,5,AA,American Airlines Inc.,503434531.0,2010
428,5,AS,Alaska Airlines Inc.,59182817.0,2010
429,5,B6,JetBlue Airways,93445073.0,2010
430,5,DL,Delta Air Lines Inc.,610697526.0,2010
431,5,NK,Spirit Air Lines,24747000.0,2010
432,5,UA,United Air Lines Inc.,385441906.0,2010
433,5,WN,Southwest Airlines Co.,311639909.0,2010
434,6,AA,American Airlines Inc.,468758063.0,2010
435,6,AS,Alaska Airlines Inc.,60489573.0,2010
436,6,B6,JetBlue Airways,91767195.0,2010
437,6,DL,Delta Air Lines Inc.,649214171.0,2010
438,6,NK,Spirit Air Lines,16306000.0,2010
439,6,UA,United Air Lines Inc.,372662209.0,2010
440,6,WN,Southwest Airlines Co.,294844928.0,2010
441,7,AA,American Airlines Inc.,485638361.0,2010
442,7,AS,Alaska Airlines Inc.,64630064.0,2010
443,7,B6,JetBlue Airways,101498319.0,2010
444,7,DL,Delta Air Lines Inc.,688747618.0,2010
445,7,NK,Spirit Air Lines,21761000.0,2010
446,7,UA,United Air Lines Inc.,388623357.0,2010
447,7,WN,Southwest Airlines Co.,302869939.0,2010
449,8,AA,American Airlines Inc.,470271142.0,2010
448,8,AS,Alaska Airlines Inc.,64452107.0,2010
451,8,B6,JetBlue Airways,103016460.0,2010
450,8,DL,Delta Air Lines Inc.,674897475.0,2010
453,8,NK,Spirit Air Lines,25601000.0,2010
454,8,UA,United Air Lines Inc.,384787525.0,2010
452,8,WN,Southwest Airlines Co.,302773274.0,2010
456,9,AA,American Airlines Inc.,430701582.0,2010
455,9,AS,Alaska Airlines Inc.,56800700.0,2010
458,9,B6,JetBlue Airways,87652760.0,2010
457,9,DL,Delta Air Lines Inc.,594968770.0,2010
460,9,NK,Spirit Air Lines,16203000.0,2010
461,9,UA,United Air Lines Inc.,357424125.0,2010
459,9,WN,Southwest Airlines Co.,278859942.0,2010
462,10,AA,American Airlines Inc.,473657488.0,2010
463,10,AS,Alaska Airlines Inc.,62512187.0,2010
464,10,B6,JetBlue Airways,93931932.0,2010
465,10,DL,Delta Air Lines Inc.,631484107.0,2010
466,10,NK,Spirit Air Lines,23296000.0,2010
467,10,UA,United Air Lines Inc.,377703658.0,2010
468,10,WN,Southwest Airlines Co.,295283891.0,2010
469,11,AA,American Airlines Inc.,462522696.0,2010
470,11,AS,Alaska Airlines Inc.,64460014.0,2010
471,11,B6,JetBlue Airways,94965531.0,2010
472,11,DL,Delta Air Lines Inc.,599261038.0,2010
473,11,NK,Spirit Air Lines,23004143.0,2010
474,11,UA,United Air Lines Inc.,361188294.0,2010
475,11,WN,Southwest Airlines Co.,291039058.0,2010
476,12,AA,American Airlines Inc.,494827942.0,2010
477,12,AS,Alaska Airlines Inc.,70859409.0,2010
478,12,B6,JetBlue Airways,100954658.0,2010
479,12,DL,Delta Air Lines Inc.,631603957.0,2010
480,12,NK,Spirit Air Lines,23746804.0,2010
481,12,UA,United Air Lines Inc.,392370747.0,2010
482,12,WN,Southwest Airlines Co.,313949487.0,2010
651,1,AA,American Airlines Inc.,635437258.0,2011
652,1,AS,Alaska Airlines Inc.,109201594.0,2011
653,1,B6,JetBlue Airways,155594506.0,2011
654,1,DL,Delta Air Lines Inc.,759670066.0,2011
655,1,NK,Spirit Air Lines,41991357.0,2011
656,1,UA,United Air Lines Inc.,789358416.0,2011
657,1,WN,Southwest Airlines Co.,445780850.0,2011
658,2,AA,American Airlines Inc.,590299651.0,2011
659,2,AS,Alaska Airlines Inc.,104312659.0,2011
